Compound name,Injection time,Peak mass,Error to closest theory mass (ppm),Closest theory mass,Ligand count,Relative labelling
AAR-POS-d2a4d1df-35,5.36,34086.50936250467,1160.877020524285,34046.98500000004,1,0.0
AAR-POS-d2a4d1df-35,5.36,34460.840024195735,2533.40428134006,34548.365000000034,3,0.0
AAR-POS-d2a4d1df-35,62.36,33829.29131731696,976.3294265517416,33796.295000000035,0,0.0
AAR-POS-d2a4d1df-35,62.36,34047.04020838445,1.621535193671082,34046.98500000004,1,93.8904979776109
AAR-POS-d2a4d1df-35,62.36,34070.67928856413,695.9291274718296,34046.98500000004,1,0.0
AAR-POS-d2a4d1df-35,62.36,34461.33469324093,2519.0861205472715,34548.365000000034,3,0.0
AAR-POS-d2a4d1df-35,182.37,33828.532915210024,953.8890345817274,33796.295000000035,0,0.0
AAR-POS-d2a4d1df-35,182.37,34034.19297018404,375.71696336680554,34046.98500000004,1,0.0
AAR-POS-d2a4d1df-35,182.37,34046.89240846465,2.7195223126901777,34046.98500000004,1,92.88927419189457
AAR-POS-d2a4d1df-35,182.37,34070.63288143482,694.5660954938159,34046.98500000004,1,0.0
AAR-POS-d2a4d1df-35,182.37,34460.76503154713,2535.574938290175,34548.365000000034,3,0.0
AAR-POS-d2a4d1df-35,5.83,33795.872385778355,12.504750052613623,33796.295000000035,0,0.0
AAR-POS-d2a4d1df-35,5.83,33828.611561280406,956.2160964795506,33796.295000000035,0,0.0
AAR-POS-d2a4d1df-35,5.83,34046.59242052019,11.530521126871909,34046.98500000004,1,75.51427063873687
AAR-POS-d2a4d1df-35,5.83,34067.21825050887,594.2743684597709,34046.98500000004,1,0.0
AAR-POS-d2a4d1df-35,5.83,34087.08025034412,1177.6446679224534,34046.98500000004,1,0.0
